                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95891,                 1.6381,                 1.3685,                0.04923,                0.54429,                0.03903,                0.02038,                 2.0437,                 82.567,                  3.169,             0.00041391,             0.00041391,             0.00041391
                      2,                 1.2877,                  1.745,                 1.6058,                0.28125,                 0.4496,                0.20151,                0.10123,                  1.795,                 6.3672,                 2.7709,             0.00078946,             0.00078946,             0.00078946
                      3,                 1.2653,                 1.7472,                 1.5925,                0.50978,                0.48811,                0.49881,                0.29341,                 1.3447,                 3.3722,                 1.9047,              0.0011238,              0.0011238,              0.0011238
                      4,                 1.2642,                 1.6483,                 1.5872,                0.74282,                0.61251,                0.72591,                0.50331,                 1.0922,                 1.5831,                 1.6055,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.1512,                 1.4408,                 1.4915,                0.76312,                0.66041,                0.76381,                0.48461,                  1.159,                 1.3052,                 1.6342,              0.0010644,              0.0010644,              0.0010644
                      6,                 1.1279,                 1.3953,                 1.4825,                0.76565,                0.62634,                0.75322,                0.51611,                 1.0945,                 1.2446,                 1.5623,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.0501,                 1.2573,                 1.4231,                0.71722,                0.72159,                0.79802,                0.56667,                 1.0371,                  1.297,                 1.5122,             0.00094062,             0.00094062,             0.00094062
                      8,                 1.0377,                 1.2316,                 1.4041,                0.81014,                0.70937,                0.83419,                0.61567,                0.94826,                 1.0635,                 1.3986,             0.00087875,             0.00087875,             0.00087875
                      9,                0.97756,                  1.127,                   1.36,                0.82654,                0.77972,                0.88396,                0.66974,                0.89218,                0.88734,                  1.363,             0.00081688,             0.00081688,             0.00081688
                     10,                0.94316,                 1.0751,                 1.3368,                0.85638,                0.81796,                0.90157,                 0.6689,                0.90734,                0.84572,                 1.3821,               0.000755,               0.000755,               0.000755
                     11,                0.89884,                 0.9798,                 1.3541,                0.83415,                0.78495,                0.89008,                 0.6674,                0.89224,                0.85378,                 1.3684,             0.00069313,             0.00069313,             0.00069313
                     12,                0.87684,                0.94439,                 1.3274,                0.83835,                0.74489,                0.88363,                 0.6813,                 0.8125,                 0.8907,                 1.2897,             0.00063125,             0.00063125,             0.00063125
                     13,                0.80534,                0.83946,                 1.2746,                0.85553,                0.87481,                0.92575,                0.72639,                0.79396,                0.73954,                  1.279,             0.00056938,             0.00056938,             0.00056938
                     14,                0.79907,                0.78046,                 1.2526,                0.86029,                0.85596,                0.92191,                0.71697,                 0.8221,                0.77261,                 1.3036,              0.0005075,              0.0005075,              0.0005075
                     15,                0.76881,                0.73931,                 1.2236,                0.93911,                0.82968,                0.93074,                0.75499,                0.73751,                0.65035,                 1.2162,             0.00044563,             0.00044563,             0.00044563
                     16,                0.73132,                0.69855,                 1.2042,                 0.9184,                0.85189,                0.94343,                0.73966,                0.77869,                0.64818,                 1.2779,             0.00038375,             0.00038375,             0.00038375
                     17,                0.71261,                0.67998,                 1.1876,                0.86977,                0.88548,                0.93226,                0.76044,                 0.7051,                0.62317,                 1.2159,             0.00032188,             0.00032188,             0.00032188
                     18,                0.66521,                0.59948,                  1.146,                0.92886,                0.90834,                0.95593,                0.79352,                0.64366,                0.50793,                  1.148,                0.00026,                0.00026,                0.00026
                     19,                0.63346,                0.55185,                 1.1193,                0.92867,                0.91662,                0.95446,                0.80618,                0.63453,                0.50513,                 1.1256,             0.00019813,             0.00019813,             0.00019813
                     20,                0.59458,                 0.5088,                 1.0785,                0.92712,                0.89889,                0.95092,                0.80723,                0.61122,                0.47481,                 1.1254,             0.00013625,             0.00013625,             0.00013625
